'Elapsed time','MLII','V1'
'0:06.542',-0.945,-0.560
'0:06.544',-0.960,-0.505
'0:06.547',-0.990,-0.490
'0:06.550',-0.980,-0.510
'0:06.553',-0.970,-0.560
'0:06.556',-0.950,-0.580
'0:06.558',-0.935,-0.550
'0:06.561',-0.935,-0.470
'0:06.564',-0.935,-0.450
'0:06.567',-0.955,-0.460
'0:06.569',-0.955,-0.525
'0:06.572',-0.950,-0.575
'0:06.575',-0.935,-0.565
'0:06.578',-0.940,-0.510
'0:06.581',-0.935,-0.475
'0:06.583',-0.940,-0.500
'0:06.586',-0.945,-0.535
'0:06.589',-0.905,-0.555
'0:06.592',-0.900,-0.525
'0:06.594',-0.900,-0.475
'0:06.597',-0.890,-0.465
'0:06.600',-0.875,-0.495
'0:06.603',-0.870,-0.540
'0:06.606',-0.850,-0.545
'0:06.608',-0.850,-0.520
'0:06.611',-0.850,-0.505
'0:06.614',-0.855,-0.520
'0:06.617',-0.855,-0.545
'0:06.619',-0.830,-0.540
'0:06.622',-0.800,-0.475
'0:06.625',-0.775,-0.435
'0:06.628',-0.750,-0.455
'0:06.631',-0.730,-0.485
'0:06.633',-0.675,-0.505
'0:06.636',-0.670,-0.455
'0:06.639',-0.670,-0.400
'0:06.642',-0.695,-0.380
'0:06.644',-0.685,-0.435
'0:06.647',-0.700,-0.470
'0:06.650',-0.680,-0.515
'0:06.653',-0.670,-0.455
'0:06.656',-0.680,-0.390
'0:06.658',-0.700,-0.360
'0:06.661',-0.690,-0.385
'0:06.664',-0.705,-0.440
'0:06.667',-0.705,-0.475
'0:06.669',-0.710,-0.435
'0:06.672',-0.720,-0.405
'0:06.675',-0.745,-0.405
'0:06.678',-0.755,-0.455
'0:06.681',-0.755,-0.510
'0:06.683',-0.755,-0.520
'0:06.686',-0.780,-0.490
'0:06.689',-0.810,-0.450
'0:06.692',-0.835,-0.470
'0:06.694',-0.840,-0.510
'0:06.697',-0.835,-0.550
'0:06.700',-0.835,-0.565
'0:06.703',-0.845,-0.505
'0:06.706',-0.860,-0.445
'0:06.708',-0.890,-0.440
'0:06.711',-0.905,-0.495
'0:06.714',-0.915,-0.565
'0:06.717',-0.910,-0.600
'0:06.719',-0.905,-0.545
'0:06.722',-0.920,-0.490
'0:06.725',-0.920,-0.430
'0:06.728',-0.900,-0.455
'0:06.731',-0.895,-0.510
'0:06.733',-0.890,-0.550
'0:06.736',-0.875,-0.535
'0:06.739',-0.895,-0.485
'0:06.742',-0.920,-0.470
'0:06.744',-0.945,-0.495
'0:06.747',-0.965,-0.555
'0:06.750',-0.985,-0.585
'0:06.753',-1.005,-0.565
'0:06.756',-1.055,-0.505
'0:06.758',-1.100,-0.465
'0:06.761',-1.105,-0.475
'0:06.764',-1.060,-0.515
'0:06.767',-0.985,-0.495
'0:06.769',-0.840,-0.410
'0:06.772',-0.690,-0.285
'0:06.775',-0.500,-0.210
'0:06.778',-0.300,-0.190
'0:06.781',-0.105,-0.185
'0:06.783',0.105,-0.175
'0:06.786',0.295,-0.120
'0:06.789',0.455,-0.045
'0:06.792',0.620,-0.055
'0:06.794',0.705,-0.125
'0:06.797',0.775,-0.280
'0:06.800',0.795,-0.400
'0:06.803',0.750,-0.475
'0:06.806',0.685,-0.475
'0:06.808',0.575,-0.465
'0:06.811',0.455,-0.440
'0:06.814',0.275,-0.390
'0:06.817',0.005,-0.320
'0:06.819',-0.310,-0.290
'0:06.822',-0.580,-0.340
'0:06.825',-0.775,-0.475
'0:06.828',-0.865,-0.585
'0:06.831',-0.845,-0.615
'0:06.833',-0.815,-0.600
'0:06.836',-0.790,-0.520
'0:06.839',-0.770,-0.475
'0:06.842',-0.780,-0.505
'0:06.844',-0.800,-0.545
'0:06.847',-0.845,-0.590
'0:06.850',-0.885,-0.555
'0:06.853',-0.935,-0.515
'0:06.856',-0.975,-0.475
'0:06.858',-0.975,-0.505
'0:06.861',-0.970,-0.540
'0:06.864',-0.945,-0.550
'0:06.867',-0.960,-0.510
'0:06.869',-0.965,-0.455
'0:06.872',-0.970,-0.445
'0:06.875',-0.985,-0.485
'0:06.878',-0.980,-0.550
'0:06.881',-0.985,-0.570
'0:06.883',-0.975,-0.535
'0:06.886',-0.965,-0.470
'0:06.889',-0.960,-0.425
'0:06.892',-0.960,-0.440
'0:06.894',-0.940,-0.485
'0:06.897',-0.930,-0.495
'0:06.900',-0.920,-0.475
'0:06.903',-0.920,-0.425
'0:06.906',-0.945,-0.395
'0:06.908',-0.955,-0.450
'0:06.911',-0.965,-0.510
'0:06.914',-0.950,-0.520
'0:06.917',-0.950,-0.495
'0:06.919',-0.955,-0.450
'0:06.922',-0.945,-0.390
'0:06.925',-0.950,-0.420
'0:06.928',-0.920,-0.455
'0:06.931',-0.905,-0.475
'0:06.933',-0.895,-0.445
'0:06.936',-0.900,-0.405
'0:06.939',-0.920,-0.400
'0:06.942',-0.940,-0.415
'0:06.944',-0.945,-0.470
'0:06.947',-0.935,-0.485
'0:06.950',-0.920,-0.435
'0:06.953',-0.920,-0.375
'0:06.956',-0.930,-0.350
'0:06.958',-0.935,-0.355
'0:06.961',-0.925,-0.395
'0:06.964',-0.900,-0.420
'0:06.967',-0.890,-0.375
'0:06.969',-0.890,-0.325
'0:06.972',-0.895,-0.300
'0:06.975',-0.915,-0.345
'0:06.978',-0.900,-0.400
'0:06.981',-0.895,-0.415
'0:06.983',-0.890,-0.390
'0:06.986',-0.900,-0.335
'0:06.989',-0.905,-0.300
'0:06.992',-0.890,-0.330
'0:06.994',-0.870,-0.365
'0:06.997',-0.850,-0.360
'0:07.000',-0.845,-0.330
'0:07.003',-0.860,-0.295
'0:07.006',-0.870,-0.295
'0:07.008',-0.885,-0.335
'0:07.011',-0.850,-0.400
'0:07.014',-0.855,-0.405
'0:07.017',-0.860,-0.355
'0:07.019',-0.850,-0.335
'0:07.022',-0.860,-0.330
'0:07.025',-0.850,-0.380
'0:07.028',-0.850,-0.400
'0:07.031',-0.815,-0.380
'0:07.033',-0.825,-0.330
'0:07.036',-0.830,-0.340
'0:07.039',-0.835,-0.375
'0:07.042',-0.840,-0.445
'0:07.044',-0.825,-0.455
'0:07.047',-0.815,-0.425
'0:07.050',-0.835,-0.395
'0:07.053',-0.825,-0.380
'0:07.056',-0.840,-0.395
'0:07.058',-0.815,-0.465
'0:07.061',-0.800,-0.495
'0:07.064',-0.775,-0.470
'0:07.067',-0.790,-0.410
'0:07.069',-0.810,-0.375
'0:07.072',-0.830,-0.410
'0:07.075',-0.860,-0.485
'0:07.078',-0.840,-0.565
'0:07.081',-0.815,-0.580
'0:07.083',-0.820,-0.510
'0:07.086',-0.860,-0.445
'0:07.089',-0.855,-0.410
'0:07.092',-0.850,-0.450
'0:07.094',-0.840,-0.515
'0:07.097',-0.810,-0.510
'0:07.100',-0.795,-0.490
'0:07.103',-0.825,-0.440
'0:07.106',-0.845,-0.430
'0:07.108',-0.865,-0.475
'0:07.111',-0.860,-0.545
'0:07.114',-0.840,-0.590
'0:07.117',-0.850,-0.570
'0:07.119',-0.845,-0.500
'0:07.122',-0.860,-0.455
'0:07.125',-0.865,-0.445
'0:07.128',-0.850,-0.505
'0:07.131',-0.830,-0.545
'0:07.133',-0.815,-0.535
'0:07.136',-0.825,-0.495
'0:07.139',-0.855,-0.455
'0:07.142',-0.875,-0.460
'0:07.144',-0.885,-0.535
'0:07.147',-0.885,-0.565
'0:07.150',-0.880,-0.595
'0:07.153',-0.880,-0.540
'0:07.156',-0.870,-0.475
'0:07.158',-0.885,-0.450
'0:07.161',-0.885,-0.490
'0:07.164',-0.875,-0.530
'0:07.167',-0.865,-0.555
'0:07.169',-0.870,-0.520
'0:07.172',-0.885,-0.480
'0:07.175',-0.910,-0.465
'0:07.178',-0.925,-0.490
'0:07.181',-0.935,-0.555
'0:07.183',-0.945,-0.610
'0:07.186',-0.940,-0.575
'0:07.189',-0.960,-0.515
'0:07.192',-0.955,-0.460
'0:07.194',-0.950,-0.465
'0:07.197',-0.935,-0.515
'0:07.200',-0.935,-0.565
'0:07.203',-0.930,-0.575
'0:07.206',-0.940,-0.535
'0:07.208',-0.975,-0.495
'0:07.211',-0.995,-0.505
'0:07.214',-0.980,-0.555
'0:07.217',-0.975,-0.600
'0:07.219',-0.960,-0.575
'0:07.222',-0.945,-0.520
'0:07.225',-0.955,-0.485
'0:07.228',-0.945,-0.490
'0:07.231',-0.940,-0.520
'0:07.233',-0.930,-0.565
'0:07.236',-0.905,-0.545
'0:07.239',-0.915,-0.490
'0:07.242',-0.940,-0.470
'0:07.244',-0.935,-0.520
'0:07.247',-0.940,-0.570
'0:07.250',-0.925,-0.590
'0:07.253',-0.920,-0.570
'0:07.256',-0.910,-0.505
'0:07.258',-0.915,-0.440
'0:07.261',-0.935,-0.455
'0:07.264',-0.920,-0.510
'0:07.267',-0.900,-0.575
'0:07.269',-0.875,-0.575
'0:07.272',-0.880,-0.540
'0:07.275',-0.865,-0.485
'0:07.278',-0.885,-0.485
'0:07.281',-0.885,-0.555
'0:07.283',-0.880,-0.580
'0:07.286',-0.875,-0.595
'0:07.289',-0.860,-0.540
'0:07.292',-0.845,-0.475
'0:07.294',-0.830,-0.485
'0:07.297',-0.815,-0.510
'0:07.300',-0.780,-0.540
'0:07.303',-0.755,-0.540
'0:07.306',-0.710,-0.490
'0:07.308',-0.720,-0.465
'0:07.311',-0.735,-0.440
'0:07.314',-0.730,-0.495
'0:07.317',-0.730,-0.545
'0:07.319',-0.695,-0.515
'0:07.322',-0.680,-0.460
'0:07.325',-0.690,-0.390
'0:07.328',-0.700,-0.375
'0:07.331',-0.690,-0.415
'0:07.333',-0.665,-0.480
'0:07.336',-0.670,-0.495
'0:07.339',-0.700,-0.470
'0:07.342',-0.725,-0.435
'0:07.344',-0.770,-0.440
'0:07.347',-0.770,-0.460
'0:07.350',-0.760,-0.520
'0:07.353',-0.755,-0.525
'0:07.356',-0.765,-0.470
'0:07.358',-0.750,-0.425
'0:07.361',-0.775,-0.445
'0:07.364',-0.800,-0.490
'0:07.367',-0.825,-0.555
'0:07.369',-0.845,-0.565
'0:07.372',-0.860,-0.535
'0:07.375',-0.880,-0.505
'0:07.378',-0.910,-0.500
'0:07.381',-0.910,-0.540
'0:07.383',-0.915,-0.600
'0:07.386',-0.905,-0.615
'0:07.389',-0.905,-0.550
'0:07.392',-0.910,-0.490
'0:07.394',-0.940,-0.455
'0:07.397',-0.940,-0.500
'0:07.400',-0.925,-0.575
'0:07.403',-0.915,-0.605
'0:07.406',-0.925,-0.580
'0:07.408',-0.925,-0.540
'0:07.411',-0.940,-0.535
'0:07.414',-0.940,-0.580
'0:07.417',-0.950,-0.610
'0:07.419',-0.945,-0.620
'0:07.422',-0.945,-0.570
'0:07.425',-0.980,-0.530
'0:07.428',-1.015,-0.530
'0:07.431',-1.040,-0.560
'0:07.433',-1.080,-0.610
'0:07.436',-1.095,-0.595
'0:07.439',-1.080,-0.535
'0:07.442',-1.020,-0.465
'0:07.444',-0.920,-0.425
'0:07.447',-0.765,-0.425
'0:07.450',-0.560,-0.405
'0:07.453',-0.350,-0.350
'0:07.456',-0.175,-0.245
'0:07.458',0.015,-0.135
'0:07.461',0.175,-0.085
'0:07.464',0.315,-0.105
'0:07.467',0.475,-0.140
'0:07.469',0.605,-0.195
'0:07.472',0.700,-0.225
'0:07.475',0.760,-0.270
'0:07.478',0.750,-0.335
'0:07.481',0.725,-0.470
'0:07.483',0.675,-0.600
'0:07.486',0.645,-0.620
'0:07.489',0.565,-0.560
'0:07.492',0.470,-0.425
'0:07.494',0.270,-0.300
'0:07.497',-0.005,-0.275
'0:07.500',-0.310,-0.370
'0:07.503',-0.555,-0.480
'0:07.506',-0.730,-0.550
'0:07.508',-0.850,-0.570
'0:07.511',-0.905,-0.565
'0:07.514',-0.865,-0.605
'0:07.517',-0.830,-0.630
'0:07.519',-0.780,-0.630
'0:07.522',-0.765,-0.585
'0:07.525',-0.770,-0.505
'0:07.528',-0.830,-0.465
'0:07.531',-0.905,-0.450
'0:07.533',-0.925,-0.520
'0:07.536',-0.950,-0.595
'0:07.539',-0.955,-0.605
'0:07.542',-0.975,-0.560
'0:07.544',-1.010,-0.525
'0:07.547',-1.020,-0.510
'0:07.550',-1.030,-0.540
'0:07.553',-1.015,-0.595
'0:07.556',-1.005,-0.590
'0:07.558',-1.000,-0.530
'0:07.561',-0.985,-0.470
'0:07.564',-0.990,-0.435
'0:07.567',-0.990,-0.475
'0:07.569',-0.980,-0.545
'0:07.572',-0.970,-0.575
'0:07.575',-0.980,-0.530
'0:07.578',-0.985,-0.465
'0:07.581',-0.990,-0.445
'0:07.583',-1.005,-0.495
'0:07.586',-0.985,-0.560
'0:07.589',-0.980,-0.575
'0:07.592',-0.965,-0.530
'0:07.594',-0.945,-0.445
'0:07.597',-0.970,-0.420
'0:07.600',-0.970,-0.440
'0:07.603',-0.960,-0.495
'0:07.606',-0.945,-0.525
'0:07.608',-0.965,-0.495
'0:07.611',-0.960,-0.455
'0:07.614',-0.985,-0.425
'0:07.617',-0.995,-0.480
'0:07.619',-0.975,-0.535
'0:07.622',-0.960,-0.500
'0:07.625',-0.940,-0.465
'0:07.628',-0.945,-0.395
'0:07.631',-0.935,-0.390
'0:07.633',-0.935,-0.425
'0:07.636',-0.925,-0.465
'0:07.639',-0.905,-0.445
'0:07.642',-0.940,-0.415
'0:07.644',-0.950,-0.380
'0:07.647',-0.960,-0.430
'0:07.650',-0.975,-0.460
'0:07.653',-0.950,-0.465
'0:07.656',-0.935,-0.430
'0:07.658',-0.930,-0.365
'0:07.661',-0.920,-0.340
'0:07.664',-0.920,-0.345
'0:07.667',-0.910,-0.400
'0:07.669',-0.880,-0.440
'0:07.672',-0.870,-0.405
'0:07.675',-0.865,-0.365
'0:07.678',-0.905,-0.340
'0:07.681',-0.915,-0.355
'0:07.683',-0.925,-0.430
'0:07.686',-0.920,-0.465
'0:07.689',-0.890,-0.445
'0:07.692',-0.885,-0.395
'0:07.694',-0.875,-0.345
'0:07.697',-0.885,-0.345
'0:07.700',-0.870,-0.395
'0:07.703',-0.855,-0.445
'0:07.706',-0.845,-0.420
'0:07.708',-0.865,-0.390
'0:07.711',-0.890,-0.375
'0:07.714',-0.890,-0.410
'0:07.717',-0.880,-0.440
'0:07.719',-0.865,-0.495
'0:07.722',-0.860,-0.470
'0:07.725',-0.855,-0.395
'0:07.728',-0.850,-0.360
'0:07.731',-0.840,-0.390
'0:07.733',-0.830,-0.455
'0:07.736',-0.830,-0.515
'0:07.739',-0.815,-0.505
'0:07.742',-0.820,-0.480
'0:07.744',-0.840,-0.435
'0:07.747',-0.860,-0.450
'0:07.750',-0.865,-0.520
'0:07.753',-0.865,-0.570
'0:07.756',-0.840,-0.570
'0:07.758',-0.825,-0.520
'0:07.761',-0.825,-0.455
'0:07.764',-0.830,-0.445
'0:07.767',-0.840,-0.500
'0:07.769',-0.850,-0.560
'0:07.772',-0.840,-0.560
'0:07.775',-0.850,-0.540
'0:07.778',-0.865,-0.500
'0:07.781',-0.880,-0.500
'0:07.783',-0.885,-0.550
'0:07.786',-0.880,-0.610
'0:07.789',-0.865,-0.595
'0:07.792',-0.875,-0.545
'0:07.794',-0.880,-0.495
'0:07.797',-0.890,-0.485
'0:07.800',-0.870,-0.555
'0:07.803',-0.870,-0.590
'0:07.806',-0.855,-0.600
'0:07.808',-0.865,-0.545
'0:07.811',-0.885,-0.505
'0:07.814',-0.900,-0.530
'0:07.817',-0.910,-0.580
'0:07.819',-0.900,-0.630
'0:07.822',-0.880,-0.605
'0:07.825',-0.905,-0.540
'0:07.828',-0.905,-0.495
'0:07.831',-0.915,-0.530
'0:07.833',-0.900,-0.570
'0:07.836',-0.890,-0.600
'0:07.839',-0.910,-0.575
'0:07.842',-0.925,-0.550
'0:07.844',-0.940,-0.550
'0:07.847',-0.955,-0.595
'0:07.850',-0.950,-0.640
'0:07.853',-0.960,-0.635
'0:07.856',-0.940,-0.575
'0:07.858',-0.960,-0.520
'0:07.861',-0.965,-0.510
'0:07.864',-0.985,-0.550
'0:07.867',-0.950,-0.610
'0:07.869',-0.950,-0.600
'0:07.872',-0.955,-0.590
'0:07.875',-0.975,-0.535
'0:07.878',-0.985,-0.535
'0:07.881',-1.000,-0.580
'0:07.883',-1.000,-0.640
'0:07.886',-0.985,-0.675
'0:07.889',-0.985,-0.620
'0:07.892',-0.970,-0.550
'0:07.894',-0.985,-0.515
'0:07.897',-0.990,-0.550
'0:07.900',-0.975,-0.600
'0:07.903',-0.970,-0.620
'0:07.906',-0.960,-0.600
'0:07.908',-0.965,-0.555
'0:07.911',-0.980,-0.545
'0:07.914',-1.000,-0.585
'0:07.917',-1.010,-0.630
'0:07.919',-0.980,-0.665
'0:07.922',-0.975,-0.625
'0:07.925',-0.965,-0.565
'0:07.928',-0.955,-0.510
'0:07.931',-0.965,-0.525
'0:07.933',-0.950,-0.580
'0:07.936',-0.925,-0.635
'0:07.939',-0.920,-0.625
'0:07.942',-0.925,-0.565
'0:07.944',-0.940,-0.530
'0:07.947',-0.955,-0.550
'0:07.950',-0.940,-0.615
'0:07.953',-0.915,-0.630
'0:07.956',-0.895,-0.610
'0:07.958',-0.880,-0.550
'0:07.961',-0.875,-0.510
'0:07.964',-0.865,-0.530
'0:07.967',-0.885,-0.585
'0:07.969',-0.855,-0.605
'0:07.972',-0.840,-0.580
'0:07.975',-0.825,-0.540
'0:07.978',-0.830,-0.520
'0:07.981',-0.825,-0.555
'0:07.983',-0.800,-0.605
'0:07.986',-0.765,-0.615
'0:07.989',-0.740,-0.580
'0:07.992',-0.720,-0.500
'0:07.994',-0.700,-0.450
'0:07.997',-0.700,-0.455
'0:08.000',-0.695,-0.505
'0:08.003',-0.680,-0.525
'0:08.006',-0.675,-0.505
'0:08.008',-0.710,-0.460
'0:08.011',-0.740,-0.470
'0:08.014',-0.770,-0.520
'0:08.017',-0.780,-0.555
'0:08.019',-0.750,-0.560
'0:08.022',-0.745,-0.505
'0:08.025',-0.755,-0.480
'0:08.028',-0.770,-0.490
'0:08.031',-0.750,-0.530
'0:08.033',-0.745,-0.530
'0:08.036',-0.770,-0.515
'0:08.039',-0.810,-0.495
'0:08.042',-0.850,-0.515
'0:08.044',-0.875,-0.600
'0:08.047',-0.880,-0.650
'0:08.050',-0.890,-0.635
'0:08.053',-0.910,-0.585
'0:08.056',-0.925,-0.535
'0:08.058',-0.930,-0.535
'0:08.061',-0.905,-0.575
'0:08.064',-0.905,-0.605
'0:08.067',-0.890,-0.595
'0:08.069',-0.910,-0.540
'0:08.072',-0.920,-0.515
'0:08.075',-0.950,-0.535
'0:08.078',-0.960,-0.595
'0:08.081',-0.950,-0.640
'0:08.083',-0.940,-0.635
'0:08.086',-0.940,-0.600
'0:08.089',-0.960,-0.540
'0:08.092',-0.970,-0.550
'0:08.094',-0.960,-0.585
'0:08.097',-0.945,-0.620
'0:08.100',-0.960,-0.610
'0:08.103',-0.995,-0.565
'0:08.106',-1.045,-0.550
'0:08.108',-1.100,-0.555
'0:08.111',-1.155,-0.615
'0:08.114',-1.145,-0.645
'0:08.117',-1.100,-0.610
'0:08.119',-1.025,-0.515
'0:08.122',-0.895,-0.410
'0:08.125',-0.745,-0.320
'0:08.128',-0.565,-0.310
'0:08.131',-0.340,-0.315
'0:08.133',-0.140,-0.275
'0:08.136',0.055,-0.175
'0:08.139',0.220,-0.095
'0:08.142',0.360,-0.085
'0:08.144',0.485,-0.125
'0:08.147',0.615,-0.235
'0:08.150',0.715,-0.335
'0:08.153',0.760,-0.390
'0:08.156',0.750,-0.435
'0:08.158',0.710,-0.510
'0:08.161',0.665,-0.565
'0:08.164',0.605,-0.585
'0:08.167',0.535,-0.535
'0:08.169',0.390,-0.405
'0:08.172',0.150,-0.290
'0:08.175',-0.150,-0.280
'0:08.178',-0.450,-0.395
'0:08.181',-0.680,-0.555
'0:08.183',-0.830,-0.670
'0:08.186',-0.875,-0.695
'0:08.189',-0.870,-0.635
'0:08.192',-0.830,-0.545
'0:08.194',-0.795,-0.530
'0:08.197',-0.765,-0.550
'0:08.200',-0.750,-0.585
'0:08.203',-0.785,-0.605
'0:08.206',-0.835,-0.570
'0:08.208',-0.905,-0.535
'0:08.211',-0.960,-0.540
'0:08.214',-0.990,-0.595
'0:08.217',-1.010,-0.630
'0:08.219',-1.010,-0.640
'0:08.222',-1.010,-0.585
'0:08.225',-1.005,-0.520
'0:08.228',-1.020,-0.520
'0:08.231',-1.010,-0.560
'0:08.233',-0.995,-0.590
'0:08.236',-0.985,-0.555
'0:08.239',-0.980,-0.515
'0:08.242',-0.990,-0.485
'0:08.244',-0.990,-0.515
'0:08.247',-1.005,-0.590
'0:08.250',-1.000,-0.635
'0:08.253',-1.005,-0.615
'0:08.256',-1.005,-0.550
'0:08.258',-1.000,-0.485
'0:08.261',-1.010,-0.500
'0:08.264',-1.010,-0.540
'0:08.267',-0.990,-0.580
'0:08.269',-0.970,-0.570
'0:08.272',-0.965,-0.515
'0:08.275',-0.980,-0.480
'0:08.278',-1.000,-0.480
'0:08.281',-1.000,-0.530
'0:08.283',-0.985,-0.585
'0:08.286',-0.985,-0.595
'0:08.289',-0.965,-0.535
'0:08.292',-0.960,-0.465
'0:08.294',-0.975,-0.430
'0:08.297',-0.970,-0.470
'0:08.300',-0.965,-0.505
'0:08.303',-0.955,-0.545
'0:08.306',-0.945,-0.520
'0:08.308',-0.955,-0.450
'0:08.311',-0.975,-0.410
'0:08.314',-0.975,-0.450
'0:08.317',-0.970,-0.495
'0:08.319',-0.960,-0.535
'0:08.322',-0.950,-0.515
'0:08.325',-0.940,-0.430
'0:08.328',-0.950,-0.375
'0:08.331',-0.950,-0.360
'0:08.333',-0.935,-0.410
'0:08.336',-0.905,-0.480
'0:08.339',-0.905,-0.465
'0:08.342',-0.905,-0.410
'0:08.344',-0.920,-0.380
'0:08.347',-0.940,-0.375
'0:08.350',-0.925,-0.420
'0:08.353',-0.925,-0.475
'0:08.356',-0.900,-0.450
'0:08.358',-0.905,-0.385
'0:08.361',-0.910,-0.335
'0:08.364',-0.900,-0.340
'0:08.367',-0.895,-0.400
'0:08.369',-0.880,-0.430
'0:08.372',-0.885,-0.440
'0:08.375',-0.890,-0.400
'0:08.378',-0.910,-0.385
'0:08.381',-0.920,-0.410
'0:08.383',-0.895,-0.470
'0:08.386',-0.900,-0.500
'0:08.389',-0.870,-0.480
'0:08.392',-0.865,-0.400
'0:08.394',-0.870,-0.370
'0:08.397',-0.885,-0.380
'0:08.400',-0.855,-0.430
'0:08.403',-0.840,-0.495
'0:08.406',-0.840,-0.510
'0:08.408',-0.845,-0.450
'0:08.411',-0.855,-0.425
'0:08.414',-0.890,-0.450
'0:08.417',-0.885,-0.510
'0:08.419',-0.875,-0.545
'0:08.422',-0.875,-0.540
'0:08.425',-0.860,-0.490
'0:08.428',-0.860,-0.435
'0:08.431',-0.860,-0.435
'0:08.433',-0.845,-0.495
'0:08.436',-0.850,-0.560
'0:08.439',-0.855,-0.535
'0:08.442',-0.850,-0.520
'0:08.444',-0.880,-0.485
'0:08.447',-0.890,-0.500
'0:08.450',-0.905,-0.565
'0:08.453',-0.890,-0.595
'0:08.456',-0.890,-0.575
'0:08.458',-0.875,-0.535
'0:08.461',-0.885,-0.500
'0:08.464',-0.895,-0.500
'0:08.467',-0.890,-0.560
'0:08.469',-0.865,-0.590
'0:08.472',-0.890,-0.580
'0:08.475',-0.900,-0.545
'0:08.478',-0.900,-0.495
'0:08.481',-0.915,-0.520
'0:08.483',-0.910,-0.585
'0:08.486',-0.910,-0.635
'0:08.489',-0.905,-0.635
'0:08.492',-0.880,-0.555
'0:08.494',-0.895,-0.505
'0:08.497',-0.925,-0.475
'0:08.500',-0.930,-0.515
'0:08.503',-0.925,-0.575
'0:08.506',-0.915,-0.620
'0:08.508',-0.900,-0.605
'0:08.511',-0.915,-0.555
'0:08.514',-0.935,-0.555
'0:08.517',-0.930,-0.580
'0:08.519',-0.940,-0.630
'0:08.522',-0.930,-0.625
'0:08.525',-0.930,-0.580
'0:08.528',-0.930,-0.525
'0:08.531',-0.945,-0.485
'0:08.533',-0.950,-0.535
'0:08.536',-0.955,-0.605
'0:08.539',-0.950,-0.640
'0:08.542',-0.955,-0.615
'0:08.544',-0.975,-0.570
'0:08.547',-0.995,-0.555
'0:08.550',-1.005,-0.600
'0:08.553',-1.000,-0.640
'0:08.556',-0.990,-0.660
'0:08.558',-0.980,-0.625
'0:08.561',-0.990,-0.550
'0:08.564',-0.990,-0.530
'0:08.567',-0.975,-0.575
'0:08.569',-0.985,-0.625
'0:08.572',-0.995,-0.640
'0:08.575',-0.975,-0.610
'0:08.578',-1.000,-0.570
'0:08.581',-1.015,-0.565
'0:08.583',-1.015,-0.630
'0:08.586',-1.000,-0.665
'0:08.589',-0.970,-0.645
'0:08.592',-0.955,-0.600
'0:08.594',-0.955,-0.565
'0:08.597',-0.965,-0.545
'0:08.600',-0.960,-0.595
'0:08.603',-0.950,-0.660
'0:08.606',-0.935,-0.660
'0:08.608',-0.930,-0.630
'0:08.611',-0.965,-0.585
'0:08.614',-0.975,-0.570
'0:08.617',-0.975,-0.620
'0:08.619',-0.970,-0.670
'0:08.622',-0.965,-0.670
'0:08.625',-0.955,-0.595
'0:08.628',-0.950,-0.560
'0:08.631',-0.945,-0.555
'0:08.633',-0.930,-0.580
'0:08.636',-0.920,-0.620
'0:08.639',-0.895,-0.620
'0:08.642',-0.905,-0.590
'0:08.644',-0.915,-0.565
'0:08.647',-0.915,-0.595
'0:08.650',-0.910,-0.635
'0:08.653',-0.905,-0.655
'0:08.656',-0.895,-0.615
'0:08.658',-0.850,-0.540
'0:08.661',-0.830,-0.520
'0:08.664',-0.805,-0.545
'0:08.667',-0.775,-0.575
'0:08.669',-0.740,-0.620
'0:08.672',-0.720,-0.580
'0:08.675',-0.730,-0.515
'0:08.678',-0.740,-0.460
'0:08.681',-0.730,-0.490
'0:08.683',-0.745,-0.545
'0:08.686',-0.725,-0.575
'0:08.689',-0.710,-0.570
'0:08.692',-0.690,-0.505
'0:08.694',-0.695,-0.460
'0:08.697',-0.725,-0.430
'0:08.700',-0.720,-0.475
'0:08.703',-0.720,-0.545
'0:08.706',-0.725,-0.575
'0:08.708',-0.735,-0.535
'0:08.711',-0.760,-0.475
'0:08.714',-0.790,-0.480
'0:08.717',-0.800,-0.515
'0:08.719',-0.790,-0.580
'0:08.722',-0.790,-0.630
'0:08.725',-0.780,-0.585
'0:08.728',-0.795,-0.515
'0:08.731',-0.835,-0.470
'0:08.733',-0.845,-0.495
'0:08.736',-0.865,-0.570
'0:08.739',-0.875,-0.660
'0:08.742',-0.870,-0.670
'0:08.744',-0.885,-0.625
'0:08.747',-0.915,-0.560
'0:08.750',-0.940,-0.550
'0:08.753',-0.950,-0.585
'0:08.756',-0.940,-0.645
'0:08.758',-0.920,-0.630
'0:08.761',-0.915,-0.585
'0:08.764',-0.930,-0.545
'0:08.767',-0.945,-0.525
'0:08.769',-0.940,-0.585
'0:08.772',-0.945,-0.635
'0:08.775',-0.940,-0.640
'0:08.778',-0.940,-0.620
'0:08.781',-0.960,-0.580
'0:08.783',-0.960,-0.565
'0:08.786',-1.000,-0.625
'0:08.789',-0.995,-0.665
'0:08.792',-1.000,-0.660
'0:08.794',-1.005,-0.590
'0:08.797',-1.035,-0.540
'0:08.800',-1.090,-0.515
'0:08.803',-1.145,-0.560
'0:08.806',-1.175,-0.635
'0:08.808',-1.150,-0.660
'0:08.811',-1.070,-0.610
'0:08.814',-0.965,-0.500
'0:08.817',-0.835,-0.395
'0:08.819',-0.665,-0.345
'0:08.822',-0.460,-0.330
'0:08.825',-0.220,-0.310
'0:08.828',-0.025,-0.235
'0:08.831',0.165,-0.125
